dcc	group	role
cfde_registry_dcc:4dn	d5548e18-5ff2-11eb-bd29-0aa21a0136a3	cfde_registry_grp_role:review-decider
cfde_registry_dcc:4dn	642533ba-f832-11ea-880f-0ac4e6b272c3	cfde_registry_grp_role:reviewer
cfde_registry_dcc:4dn	b42cceba-5ff2-11eb-a5df-0ed99e3b11f1	cfde_registry_grp_role:submitter
cfde_registry_dcc:gtex	e60ea783-5ff0-11eb-addd-0ed984e6d20d	cfde_registry_grp_role:review-decider
cfde_registry_dcc:gtex	7977181e-f82f-11ea-b43a-0efde36f5027	cfde_registry_grp_role:reviewer
cfde_registry_dcc:gtex	a29ec8d8-5ff0-11eb-bd28-0aa21a0136a3	cfde_registry_grp_role:submitter
cfde_registry_dcc:hmp	7343a5c7-5ff1-11eb-a5df-0ed99e3b11f1	cfde_registry_grp_role:review-decider
cfde_registry_dcc:hmp	4e335e29-f831-11ea-b43e-0efde36f5027	cfde_registry_grp_role:reviewer
cfde_registry_dcc:hmp	5905d80a-5ff1-11eb-bd29-0aa21a0136a3	cfde_registry_grp_role:submitter
cfde_registry_dcc:kidsfirst	2ecb2518-5ff1-11eb-addd-0ed984e6d20d	cfde_registry_grp_role:review-decider
cfde_registry_dcc:kidsfirst	1863c500-f831-11ea-b43d-0efde36f5027	cfde_registry_grp_role:reviewer
cfde_registry_dcc:kidsfirst	0bbc325f-5ff1-11eb-addd-0ed984e6d20d	cfde_registry_grp_role:submitter
cfde_registry_dcc:lincs	87f66c3e-5ff2-11eb-bd29-0aa21a0136a3	cfde_registry_grp_role:review-decider
cfde_registry_dcc:lincs	2b14318d-f832-11ea-880f-0ac4e6b272c3	cfde_registry_grp_role:reviewer
cfde_registry_dcc:lincs	61ab8b8e-5ff2-11eb-bd29-0aa21a0136a3	cfde_registry_grp_role:submitter
cfde_registry_dcc:metabolomics	41d518ac-5ff2-11eb-bd29-0aa21a0136a3	cfde_registry_grp_role:review-decider
cfde_registry_dcc:metabolomics	f423d7d8-f831-11ea-a93a-0a738d2d09bf	cfde_registry_grp_role:reviewer
cfde_registry_dcc:metabolomics	1a3a8a71-5ff2-11eb-addd-0ed984e6d20d	cfde_registry_grp_role:submitter
cfde_registry_dcc:motrpac	f83a2c28-5ff1-11eb-bd29-0aa21a0136a3	cfde_registry_grp_role:review-decider
cfde_registry_dcc:motrpac	8a32410e-f831-11ea-880f-0ac4e6b272c3	cfde_registry_grp_role:reviewer
cfde_registry_dcc:motrpac	d8231cd7-5ff1-11eb-a5df-0ed99e3b11f1	cfde_registry_grp_role:submitter
